"id","time_parse","channel","usr_parse","msg_parse"
34494,"2023-12-31 00:36:54","#atropa_logged","mariarahel!~maria","Kevin Bacon Can Fuck Off"
34493,"2023-12-31 00:35:35","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=KdC7TeUoQe8"
34492,"2023-12-31 00:29:16","#atropa_logged","mariarahel!~maria","1"
34491,"2023-12-31 00:21:32","#atropa_logged","mariarahel!~maria","i would suggest not interrupting until i finish"
34490,"2023-12-31 00:19:16","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=855bkOBkuVo"
34488,"2023-12-31 00:13:59","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=OIkqce9Z90U"
34487,"2023-12-31 00:12:24","#atropa_logged","mariarahel!~maria","bullshit"
34486,"2023-12-31 00:08:40","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=5wlSsdeYfzI"
34485,"2023-12-30 23:58:35","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=w5ddeiSd7I0"
34484,"2023-12-30 23:52:18","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=0LdMRpBgtMc"
34483,"2023-12-30 23:51:37","#atropa_logged","mariarahel!~maria","trying to raise $400k with a cryptic port 5555 telnet server"
34482,"2023-12-30 23:26:33","#atropa_logged","koss11[m]!~koss11mat","Nothing to do with passion, I have given you the solution - straight from the DEV's X account. Up to you to handle it."
34481,"2023-12-30 23:24:36","#atropa_logged","Tetragrammaton33!~TetraGram","i appreciate your passion friend. I'm good"
34480,"2023-12-30 23:22:45","#atropa_logged","koss11[m]!~koss11mat","https://twitter.com/bretep/status/1740437284888211457"
34479,"2023-12-30 23:21:05","#atropa_logged","koss11[m]!~koss11mat","No, fix your problem, send him the transaction hash"
