"time_parse","usr_parse","msg_parse"
"2023-12-05 21:26:00","mariarahel!~maria","It Could Have Been But kittygomeow Fucked Up"
"2023-12-05 21:34:36","mariarahel!~maria","Fuck Off You Didn't Read"
"2023-12-05 21:35:30","mariarahel!~maria","Fuck Off To Your Hecho Puesto"
"2023-12-05 21:41:46","mariarahel!~maria","So He Needs To Fuck Off"
"2023-12-05 21:42:44","mariarahel!~maria","Fuck Off Fun Fan Duterte"
"2023-12-05 21:42:58","mariarahel!~maria","Fuck Off To Vicente Fox"
"2023-12-05 21:49:28","mariarahel!~maria","Fuck Off That The Happy"
"2023-12-05 21:56:32","mariarahel!~maria","His Peril Is Certain To Fuck Off As We Move On"
"2023-12-05 22:22:31","mariarahel!~maria","Indie Film Making Can Fuck Off"
"2023-12-05 22:23:06","mariarahel!~maria","Fuck Off & See Independence"
"2023-12-05 22:38:32","mariarahel!~maria","Fuck Off You Don't Know Me"
"2023-12-05 22:39:05","mariarahel!~maria","Slaughter Your Fucking Lion"
"2023-12-05 22:39:32","mariarahel!~maria","Fuck Off I Will Never Fight You"
"2023-12-05 22:40:11","mariarahel!~maria","Who The Fuck Do You Think You Are ?"
"2023-12-05 22:42:06","mariarahel!~maria","The One With All The Fuck Off"
"2023-12-05 22:46:16","mariarahel!~maria","Why Exactly Did You Not Fuck Off ?"
"2023-12-05 22:49:37","mariarahel!~maria","Peril That The Fucking Crazy"
"2023-12-05 22:55:31","mariarahel!~maria","Some Of The Catholic Cardinals Are Fucking Awful"
"2023-12-05 22:58:10","mariarahel!~maria","Fuck Off And Die"
"2023-12-05 23:58:59","mariarahel!~maria","His Fuck Off"
"2023-12-06 00:11:18","mariarahel!~maria","Why Not Fuck Off, Bader ?"
"2023-12-06 00:20:27","mariarahel!~maria","They Can Only Fuck Off"
"2023-12-06 00:51:01","mariarahel!~maria","Catch The Fuck Up, Annabelle"
"2023-12-06 00:56:02","mariarahel!~maria","Fuck Off"
"2023-12-06 00:58:20","mariarahel!~maria","If Crown Castle Thinks It Is Then Crown Castle Can Fuck Off"
"2023-12-06 01:31:34","mariarahel!~maria","Assault That The Fuck Off ?"
"2023-12-06 01:42:13","mariarahel!~maria","Fuck Off If You Play Along"
"2023-12-06 01:42:50","mariarahel!~maria","Fuck Off If You Live & Breathe The Honey Pot"
"2023-12-06 01:52:40","mariarahel!~maria","Candy Crash Can Fuck Off"
"2023-12-06 02:01:18","mariarahel!~maria","Then Fuck Off"
"2023-12-06 02:16:14","mariarahel!~maria","Sir Martin Sorrell Can Fuck Off"
"2023-12-06 02:50:41","mariarahel!~maria","Iron Maiden Can Fuck Off"
"2023-12-06 17:03:40","mariarahel!~maria","Fuck Off, Macron"
"2023-12-06 17:03:52","mariarahel!~maria","Fuck Off To Plaidoiyer Terrasque"
"2023-12-06 17:12:23","mariarahel!~maria","Stay & Don't Fuck Off While This Is TTC, Roger"
"2023-12-06 18:04:32","mariarahel!~maria","Mike Fries Can Fuck Off"
"2023-12-06 18:09:56","mariarahel!~maria","Seriously Fuck Off"
"2023-12-06 18:14:14","mariarahel!~maria","Development Can Fuck Off"
"2023-12-06 19:42:38","mariarahel!~maria","Do You Want To Stand Up Straight At Impasse That The Fuck Off ?"
"2023-12-06 20:04:39","mariarahel!~maria","Slim Shady Can Fuck Off"
"2023-12-06 20:21:21","mariarahel!~maria","They Just Have To Fuck Off"
"2023-12-07 14:59:28","mariarahel!~maria","That Have Not Fucked Off"
"2023-12-07 15:03:37","mariarahel!~maria","Fuck Off To Allah !"
"2023-12-07 15:08:47","mariarahel!~maria","Just Fuck Off"
"2023-12-07 15:12:53","mariarahel!~maria","FUCK OFF"
"2023-12-07 15:14:47","mariarahel!~maria","It's A Fucking Letter That You Write With A Pen"
"2023-12-07 15:15:31","mariarahel!~maria","Fuck Off You Don't Know What To Buy"
"2023-12-07 15:23:08","mariarahel!~maria","If You Fuck Off We Can Make The Digital City"
"2023-12-07 18:38:46","mariarahel!~maria","Fuck Off, Joe Jong"
"2023-12-07 18:53:45","mariarahel!~maria","Fuck Off, Kim Jun"
"2023-12-07 19:16:38","mariarahel!~maria","Sports Can Fuck Off"
"2023-12-07 19:19:56","mariarahel!~maria","Fuck Off Joe Sports"
"2023-12-07 19:29:53","mariarahel!~maria","Fuck Off"
"2023-12-07 21:23:49","mariarahel!~maria","Fuck Off If You're Banks Of Montevideo"
"2023-12-07 21:26:13","mariarahel!~maria","Carlos Slim Can Fuck Off"
"2023-12-07 21:27:26","mariarahel!~maria","Fuck Off Because You Have An Entirely Fictional Educational System Of Learning"
"2023-12-07 21:28:22","mariarahel!~maria","Fuck Off And You Take Sides"
"2023-12-07 21:29:07","mariarahel!~maria","Fuck Off Mandela"
"2023-12-07 21:29:21","mariarahel!~maria","Fuck Off To Malagasy, Mandela"
"2023-12-07 21:33:03","mariarahel!~maria","Just Fuck Off"
"2023-12-07 21:33:32","mariarahel!~maria","Baby Girl & You Fuck Off"
"2023-12-07 21:35:54","mariarahel!~maria","Fuck Off And You Have Zero Faction"
"2023-12-07 21:43:51","mariarahel!~maria","Baby Girl That Only Gets Fucked ?"
"2023-12-07 22:02:16","mariarahel!~maria","The Script He Gave Me Was Fucking weird"
"2023-12-07 22:08:47","mariarahel!~maria","Universal Can Fuck Off"
"2023-12-07 22:09:19","mariarahel!~maria","Fuck Off It's The Treaty"
"2023-12-07 22:09:43","mariarahel!~maria","You Should Already Know That The Treaty Starts With Fuck Off"
"2023-12-07 22:29:13","mariarahel!~maria","You Don't Respect The Trademark Liberty Of Stavros Can Fuck Off"
"2023-12-07 22:32:53","mariarahel!~maria","Probably I Will Never Respect You & You Have To Fuck Off"
"2023-12-07 22:44:14","mariarahel!~maria","Honey Demand Needs To Actively Fuck Off"
"2023-12-07 23:33:23","mariarahel!~maria","Barack Obama Can Fuck Off"
"2023-12-07 23:34:18","mariarahel!~maria","Idi Amin Can Fuck Off"
"2023-12-07 23:59:16","mariarahel!~maria","Plot Can Fuck Off"
"2023-12-08 12:54:31","mariarahel!~maria","Policies Run Fuck Off All The Time"
"2023-12-08 12:57:41","mariarahel!~maria","If You Suffer Under The Treaty Just Fuck Off"
"2023-12-08 12:59:08","mariarahel!~maria","If I Read The Policy For You Then Fuck Off"
"2023-12-08 13:02:52","mariarahel!~maria","They Won't Fuck Off"
"2023-12-08 13:06:14","mariarahel!~maria","I Already Wrote They Fuck Off"
"2023-12-08 13:10:00","mariarahel!~maria","You're Just Gonna Get The Fuck Off"
"2023-12-08 13:25:23","mariarahel!~maria","I Already Gave You Fuck Off"
